Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,45;9,16;53,79;122,40
542; KCP Pangandaran;15,77;2,68;71,94;90,39
543; KCP Pelabuhan Ratu;5,78;27,30;46,97;80,05
593; KCP ITB;85,89;64,35;55,60;205,84
598; KCP BRI JATINANGOR;18,35;10,19;114,21;142,75
599; KCP Patrol;4,15;5,75;61,01;70,91
600; KCP SUMBER SARI;7,62;6,92;70,43;84,96
601; KCP Weru;17,13;28,12;100,00;145,25
650; KCP OTTO ISKANDARDINATA;27,55;10,39;51,15;89,08
655; KCP SETRASARI;37,88;16,07;77,04;130,98
656; KCP PADALARANG;18,68;8,89;59,98;87,54
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;27,80;11,81;52,52;92,13
1070; KCP CIJERAH;32,08;5,17;63,25;100,50
1071; KCP CIMINDI;13,51;13,85;55,90;83,26
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;17,13;2,73;92,06;111,93
1107; KCP METRO TRADE CENTER;18,88;9,79;77,09;105,76
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;7,97;2,73;37,73;48,42
1140; KCP BANJARAN;11,08;9,70;53,22;74,00
1141; KCP SUMMARECON BANDUNG;28,72;40,88;76,13;145,74
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,01
1346; KCP CIKAJANG;9,49;6,93;52,88;69,31
1355; KCP CICURUG;8,18;35,16;33,02;76,37
1437; KCP CIAWI TASIKMALAYA;3,40;4,45;46,82;54,67
1596; KCP TELKOM BANDUNG;13,02;106,65;39,01;158,68
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;27,69;7,63;50,87;86,19
2058; KCP BATUNUNGGAL;48,42;22,60;55,26;126,28
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;30,95;13,70;84,53;129,19
2105; KCP SUCI;44,96;15,38;55,26;115,61
2128; KCP CILEDUG CIREBON;14,28;5,95;66,03;86,25
2154; KCP ANTAPANI;13,08;6,45;48,17;67,70
2155; KCP TAMAN KOPO INDAH;14,17;12,60;64,90;91,67
2184; KCP TAMAN KOPO INDAH II;19,08;7,12;61,58;87,78
2229; KCP SURADE;7,72;2,35;28,69;38,76
2230; KCP CIRANJANG;2,32;2,90;35,03;40,25
2231; KCP SUKANAGARA;0,81;0,95;23,09;24,86
