Rows L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,49;7,61;54,01;121,12
542; KCP Pangandaran;15,83;2,65;78,43;96,92
543; KCP Pelabuhan Ratu;7,01;23,62;49,20;79,83
593; KCP ITB;83,78;47,67;59,92;191,38
598; KCP BRI JATINANGOR;16,95;8,91;113,60;139,46
599; KCP Patrol;4,09;5,35;58,83;68,28
600; KCP SUMBER SARI;8,11;9,05;67,51;84,67
601; KCP Weru;16,69;36,48;98,36;151,53
650; KCP OTTO ISKANDARDINATA;36,15;9,75;53,51;99,41
655; KCP SETRASARI;37,92;18,84;75,73;132,49
656; KCP PADALARANG;20,31;9,33;64,51;94,15
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;28,38;14,68;48,82;91,87
1070; KCP CIJERAH;33,15;4,95;63,00;101,10
1071; KCP CIMINDI;13,78;13,89;61,26;88,93
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,79;3,13;90,32;110,24
1107; KCP METRO TRADE CENTER;20,13;11,22;86,02;117,37
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,09;12,69;34,01;54,80
1140; KCP BANJARAN;11,21;7,47;54,69;73,38
1141; KCP SUMMARECON BANDUNG;37,16;40,86;71,78;149,79
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,00
1346; KCP CIKAJANG;9,44;6,59;50,92;66,95
1355; KCP CICURUG;8,19;8,15;34,24;50,58
1437; KCP CIAWI TASIKMALAYA;3,77;4,99;45,53;54,30
1596; KCP TELKOM BANDUNG;13,23;113,08;38,99;165,29
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,94;8,59;53,37;88,90
2058; KCP BATUNUNGGAL;49,04;39,53;57,51;146,08
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;36,64;28,64;88,80;154,08
2105; KCP SUCI;45,88;13,87;55,79;115,54
2128; KCP CILEDUG CIREBON;14,59;5,73;67,09;87,41
2154; KCP ANTAPANI;13,13;6,53;45,49;65,16
2155; KCP TAMAN KOPO INDAH;14,72;2,47;71,21;88,40
2184; KCP TAMAN KOPO INDAH II;18,84;6,52;64,86;90,21
2229; KCP SURADE;8,29;2,52;29,40;40,20
2230; KCP CIRANJANG;2,53;3,29;32,78;38,60
2231; KCP SUKANAGARA;0,86;1,18;21,45;23,49
