Row L;uker;Deposito;Giro;Tabungan;Grand Total
517;KCP Cipanas;59,72;7,50;59,07;126,29
542;KCP Pangandaran;15,68;2,69;70,91;89,28
543;KCP Pelabuhan Ratu;4,65;13,40;47,91;65,95
593;KCP ITB;85,72;76,18;60,62;222,52
598;KCP BRI JATINANGOR;18,43;6,78;125,16;150,37
599;KCP Patrol;4,12;8,79;66,75;79,65
600;KCP SUMBER SARI;7,86;11,14;72,56;91,55
601;KCP Weru;17,03;29,04;108,52;154,59
650;KCP OTTO ISKANDARDINATA;33,23;5,29;54,85;93,36
655;KCP SETRASARI;39,62;19,09;67,40;126,11
656;KCP PADALARANG;18,71;6,08;66,15;90,94
673;KCP PASIR KALIKI;;0,00;;0,00
674;KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675;KCP RAJAWALI BANDUNG;27,98;16,44;56,83;101,25
1070;KCP CIJERAH;31,91;5,31;67,71;104,92
1071;KCP CIMINDI;10,51;14,42;59,99;84,92
1077;KCP PETA;;;0,08;0,08
1078;KCP SUMBER;16,91;4,97;97,11;118,99
1107;KCP METRO TRADE CENTER;18,58;9,04;77,82;105,44
1108;KCP ABDUL FATAH;;;0,00;0,00
1139;KCP RANCAEKEK;160,38;3,03;38,48;201,90
1140;KCP BANJARAN;10,82;9,66;56,39;76,88
1141;KCP SUMMARECON BANDUNG;28,34;36,53;77,49;142,37
1337;KCP CIKURUBUK;;;0,00;0,00
1345;KCP GUNTUR;;0,00;0,01;0,01
1346;KCP CIKAJANG;9,49;5,50;54,80;69,79
1355;KCP CICURUG;8,35;45,54;60,28;114,17
1437;KCP CIAWI TASIKMALAYA;3,31;3,73;49,83;56,87
1596;KCP TELKOM BANDUNG;14,00;120,83;43,42;178,25
1809;KCP MANGUNSARKORO;;;0,00;0,00
2000;KCP CIHAMPELAS;;0,00;0,00;0,00
2016;KCP LEMBANG;28,26;5,85;53,64;87,74
2058;KCP BATUNUNGGAL;48,55;20,96;58,83;128,34
2103;KCP Mekarwangi;;;0,00;0,00
2104;KCP RIAU;32,34;20,61;82,92;135,88
2105;KCP SUCI;45,61;17,64;60,24;123,49
2128;KCP CILEDUG CIREBON;13,01;3,24;65,87;82,12
2154;KCP ANTAPANI;12,84;5,98;49,47;68,29
2155;KCP TAMAN KOPO INDAH;14,01;5,77;69,98;89,77
2184;KCP TAMAN KOPO INDAH II;18,33;7,23;66,40;91,96
2229;KCP SURADE;8,02;2,40;31,65;42,06
2230;KCP CIRANJANG;2,42;2,33;35,91;40,65
2231;KCP SUKANAGARA;0,86;1,26;23,99;26,11
