Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,43;8,53;55,30;123,26
542; KCP Pangandaran;15,85;2,89;72,57;91,31
543; KCP Pelabuhan Ratu;5,87;23,59;52,79;82,25
593; KCP ITB;85,67;61,71;55,78;203,16
598; KCP BRI JATINANGOR;18,28;12,28;118,15;148,72
599; KCP Patrol;4,15;6,74;64,03;74,92
600; KCP SUMBER SARI;7,62;6,49;67,37;81,49
601; KCP Weru;17,07;30,49;98,88;146,44
650; KCP OTTO ISKANDARDINATA;27,50;9,89;52,88;90,27
655; KCP SETRASARI;37,95;16,95;60,73;115,64
656; KCP PADALARANG;18,68;9,40;61,29;89,37
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;27,85;13,18;45,96;87,00
1070; KCP CIJERAH;32,00;5,17;63,43;100,61
1071; KCP CIMINDI;13,79;12,40;54,34;80,53
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,87;2,85;90,29;110,02
1107; KCP METRO TRADE CENTER;19,06;8,98;75,25;103,29
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,10;2,98;36,19;47,27
1140; KCP BANJARAN;11,09;8,83;55,32;75,24
1141; KCP SUMMARECON BANDUNG;30,76;42,16;74,60;147,52
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,01
1346; KCP CIKAJANG;9,58;8,40;54,51;72,50
1355; KCP CICURUG;8,33;24,45;33,24;66,02
1437; KCP CIAWI TASIKMALAYA;3,47;4,74;48,19;56,40
1596; KCP TELKOM BANDUNG;13,02;126,75;38,99;178,76
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,51;7,84;49,58;83,92
2058; KCP BATUNUNGGAL;49,39;31,67;55,70;136,76
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;32,17;21,39;83,60;137,17
2105; KCP SUCI;45,06;15,16;57,92;118,13
2128; KCP CILEDUG CIREBON;14,28;5,23;65,55;85,06
2154; KCP ANTAPANI;13,06;6,49;48,38;67,93
2155; KCP TAMAN KOPO INDAH;14,10;12,73;66,03;92,85
2184; KCP TAMAN KOPO INDAH II;18,96;6,74;62,21;87,91
2229; KCP SURADE;8,10;1,32;31,45;40,87
2230; KCP CIRANJANG;2,32;2,90;37,17;42,40
2231; KCP SUKANAGARA;0,81;1,04;23,28;25,14
