Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;58,73;9,13;56,92;124,79
542; KCP Pangandaran;11,83;2,51;78,25;92,59
543; KCP Pelabuhan Ratu;6,99;29,21;46,61;82,81
593; KCP ITB;84,89;48,09;59,49;192,47
598; KCP BRI JATINANGOR;16,53;9,49;116,03;142,05
599; KCP Patrol;4,09;4,84;57,98;66,92
600; KCP SUMBER SARI;8,38;14,90;65,46;88,74
601; KCP Weru;16,70;34,69;101,57;152,95
650; KCP OTTO ISKANDARDINATA;33,46;10,11;55,70;99,27
655; KCP SETRASARI;38,64;17,87;60,17;116,69
656; KCP PADALARANG;18,26;11,39;64,35;94,01
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;28,36;15,93;46,17;90,46
1070; KCP CIJERAH;35,39;6,12;64,97;106,48
1071; KCP CIMINDI;13,23;13,84;55,45;82,52
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,37;3,01;89,88;109,26
1107; KCP METRO TRADE CENTER;19,95;9,75;75,24;104,93
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,07;3,04;34,29;45,40
1140; KCP BANJARAN;11,26;7,54;55,76;74,57
1141; KCP SIMPANG BUAH BATU;36,68;43,74;66,02;146,44
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,00
1346; KCP CIKAJANG;9,35;6,94;50,97;67,26
1355; KCP CICURUG;8,10;9,12;33,10;50,32
1437; KCP CIAWI TASIKMALAYA;3,55;4,86;46,26;54,66
1596; KCP TELKOM BANDUNG;13,23;135,01;39,58;187,81
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,94;8,77;57,64;93,36
2058; KCP BATUNUNGGAL;48,65;30,23;56,58;135,46
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;36,88;21,84;87,59;146,32
2105; KCP SUCI;45,87;12,17;54,18;112,22
2128; KCP CILEDUG CIREBON;14,64;4,84;67,01;86,48
2154; KCP ANTAPANI;13,01;8,11;45,21;66,33
2155; KCP TAMAN KOPO INDAH;15,04;4,31;66,66;86,01
2184; KCP TAMAN KOPO INDAH II;18,73;7,29;63,80;89,82
2229; KCP SURADE;8,21;2,60;30,96;41,76
2230; KCP CIRANJANG;2,53;2,90;34,06;39,48
2231; KCP SUKANAGARA;0,86;1,19;21,71;23,77
