Row L;ls; Deposito ; Giro ; Tabungan ; dpk 
517;KCP Cipanas; 55,64 ; 9,25 ; 57,16 ; 122,04 
542;KCP Pangandaran; 11,91 ; 3,26 ; 81,77 ; 96,94 
543;KCP Pelabuhan Ratu; 6,99 ; 23,75 ; 47,82 ; 78,55 
593;KCP ITB; 84,85 ; 47,76 ; 59,36 ; 191,97 
598;KCP BRI JATINANGOR; 17,81 ; 9,88 ; 116,61 ; 144,31 
599;KCP Patrol; 4,09 ; 4,60 ; 58,94 ; 67,63 
600;KCP SUMBER SARI; 13,37 ; 21,39 ; 64,58 ; 99,34 
601;KCP Weru; 16,70 ; 34,82 ; 101,15 ; 152,67 
650;KCP OTTO ISKANDARDINATA; 34,41 ; 8,96 ; 55,94 ; 99,31 
655;KCP SETRASARI; 38,73 ; 18,29 ; 60,91 ; 117,94 
656;KCP PADALARANG; 18,26 ; 11,90 ; 64,48 ; 94,63 
673;KCP PASIR KALIKI;; 0,00 ;; 0,00 
674;KCP PASAR BARU BANDUNG DS;;; 0,00 ; 0,00 
675;KCP RAJAWALI BANDUNG; 28,36 ; 10,59 ; 44,86 ; 83,81 
1070;KCP CIJERAH; 35,39 ; 6,28 ; 65,58 ; 107,25 
1071;KCP CIMINDI; 13,23 ; 14,74 ; 55,33 ; 83,30 
1077;KCP PETA;;; 0,08 ; 0,08 
1078;KCP SUMBER; 16,30 ; 2,66 ; 89,87 ; 108,83 
1107;KCP METRO TRADE CENTER; 19,89 ; 8,90 ; 75,58 ; 104,38 
1108;KCP ABDUL FATAH;;; 0,00 ; 0,00 
1139;KCP RANCAEKEK; 8,02 ; 3,27 ; 34,33 ; 45,61 
1140;KCP BANJARAN; 11,33 ; 8,34 ; 56,21 ; 75,88 
1141;KCP SIMPANG BUAH BATU; 36,88 ; 42,76 ; 67,86 ; 147,50 
1337;KCP CIKURUBUK;;; 0,00 ; 0,00 
1345;KCP GUNTUR;; 0,00 ; 0,00 ; 0,00 
1346;KCP CIKAJANG; 9,35 ; 7,40 ; 52,53 ; 69,28 
1355;KCP CICURUG; 8,10 ; 8,30 ; 34,67 ; 51,07 
1437;KCP CIAWI TASIKMALAYA; 3,55 ; 5,09 ; 47,27 ; 55,91 
1596;KCP TELKOM BANDUNG; 13,23 ; 105,83 ; 39,49 ; 158,55 
1809;KCP MANGUNSARKORO;;; 0,00 ; 0,00 
2000;KCP CIHAMPELAS;; 0,00 ; 0,00 ; 0,00 
2016;KCP LEMBANG; 26,83 ; 8,94 ; 58,61 ; 94,38 
2058;KCP BATUNUNGGAL; 48,60 ; 31,39 ; 55,95 ; 135,93 
2103;KCP Mekarwangi;;; 0,00 ; 0,00 
2104;KCP RIAU; 35,45 ; 15,64 ; 87,39 ; 138,48 
2105;KCP SUCI; 45,98 ; 11,49 ; 58,87 ; 116,34 
2128;KCP CILEDUG CIREBON; 14,54 ; 4,77 ; 67,29 ; 86,60 
2154;KCP ANTAPANI; 13,00 ; 8,16 ; 46,08 ; 67,24 
2155;KCP TAMAN KOPO INDAH; 15,04 ; 4,05 ; 65,86 ; 84,95 
2184;KCP TAMAN KOPO INDAH II; 18,73 ; 7,46 ; 62,97 ; 89,16 
2229;KCP SURADE; 8,21 ; 2,53 ; 30,27 ; 41,00 
2230;KCP CIRANJANG; 2,53 ; 2,82 ; 34,14 ; 39,49 
2231;KCP SUKANAGARA; 0,86 ; 1,25 ; 22,60 ; 24,72 
