Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,422 ; 7,848 ; 56,486 ; 123,756 
542; KCP Pangandaran; 15,847 ; 2,649 ; 70,858 ; 89,354 
543; KCP Pelabuhan Ratu; 5,875 ; 23,184 ; 50,417 ; 79,475 
593; KCP ITB; 85,673 ; 62,547 ; 55,748 ; 203,969 
598; KCP BRI JATINANGOR; 18,429 ; 8,795 ; 117,159 ; 144,382 
599; KCP Patrol; 4,154 ; 6,652 ; 60,994 ; 71,800 
600; KCP SUMBER SARI; 7,515 ; 6,913 ; 67,556 ; 81,984 
601; KCP Weru; 17,053 ; 30,235 ; 99,323 ; 146,611 
650; KCP OTTO ISKANDARDINATA; 27,500 ; 10,308 ; 53,487 ; 91,295 
655; KCP SETRASARI; 37,673 ; 16,956 ; 69,273 ; 123,902 
656; KCP PADALARANG; 18,677 ; 9,422 ; 60,347 ; 88,446 
673; KCP PASIR KALIKI;; 0,000 ;; 0,000 
674; KCP PASAR BARU BANDUNG DS;;; 0,001 ; 0,001 
675; KCP RAJAWALI BANDUNG; 27,851 ; 12,230 ; 46,968 ; 87,048 
1070; KCP CIJERAH; 32,002 ; 4,730 ; 63,382 ; 100,114 
1071; KCP CIMINDI; 13,879 ; 12,307 ; 54,933 ; 81,120 
1077; KCP PETA;;; 0,078 ; 0,078 
1078; KCP SUMBER; 17,033 ; 2,591 ; 90,833 ; 110,458 
1107; KCP METRO TRADE CENTER; 19,061 ; 9,909 ; 76,466 ; 105,437 
1108; KCP ABDUL FATAH;;; 0,004 ; 0,004 
1139; KCP RANCAEKEK; 8,098 ; 2,763 ; 37,316 ; 48,177 
1140; KCP BANJARAN; 11,077 ; 9,767 ; 54,717 ; 75,560 
1141; KCP SUMMARECON BANDUNG; 30,760 ; 41,399 ; 72,331 ; 144,490 
1337; KCP CIKURUBUK;;; 0,000 ; 0,000 
1345; KCP GUNTUR;; 0,000 ; 0,005 ; 0,005 
1346; KCP CIKAJANG; 9,583 ; 7,698 ; 54,243 ; 71,524 
1355; KCP CICURUG; 8,333 ; 30,887 ; 32,359 ; 71,580 
1437; KCP CIAWI TASIKMALAYA; 3,469 ; 4,257 ; 46,949 ; 54,675 
1596; KCP TELKOM BANDUNG; 13,022 ; 106,050 ; 38,484 ; 157,556 
1809; KCP MANGUNSARKORO;;; -   ; -   
2000; KCP CIHAMPELAS;; 0,000 ; 0,003 ; 0,003 
2016; KCP LEMBANG; 26,689 ; 8,920 ; 49,084 ; 84,693 
2058; KCP BATUNUNGGAL; 49,381 ; 30,794 ; 55,558 ; 135,733 
2103; KCP Mekarwangi;;; 0,000 ; 0,000 
2104; KCP RIAU; 30,659 ; 14,627 ; 85,733 ; 131,019 
2105; KCP SUCI; 44,760 ; 15,906 ; 58,154 ; 118,821 
2128; KCP CILEDUG CIREBON; 14,179 ; 5,381 ; 66,822 ; 86,381 
2154; KCP ANTAPANI; 13,061 ; 6,532 ; 47,628 ; 67,221 
2155; KCP TAMAN KOPO INDAH; 14,096 ; 12,395 ; 65,468 ; 91,959 
