Row L;uker;Deposito;Giro;Tabungan;Grand Total
517; KCP Cipanas;59,49;7,65;53,34;120,47
542; KCP Pangandaran;15,83;2,77;69,64;88,25
543; KCP Pelabuhan Ratu;7,00;23,87;50,58;81,44
593; KCP ITB;83,78;48,46;60,31;192,56
598; KCP BRI JATINANGOR;16,85;8,99;114,06;139,90
599; KCP Patrol;4,09;5,31;58,38;67,79
600; KCP SUMBER SARI;8,11;11,08;65,97;85,15
601; KCP Weru;16,69;31,26;98,93;146,88
650; KCP OTTO ISKANDARDINATA;36,15;9,87;52,38;98,39
655; KCP SETRASARI;37,46;18,66;78,53;134,64
656; KCP PADALARANG;18,29;9,38;66,48;94,15
673; KCP PASIR KALIKI;;0,00;;0,00
674; KCP PASAR BARU BANDUNG DS;;;0,00;0,00
675; KCP RAJAWALI BANDUNG;28,38;15,86;47,70;91,94
1070; KCP CIJERAH;33,15;5,22;62,90;101,27
1071; KCP CIMINDI;13,78;13,75;60,46;87,99
1077; KCP PETA;;;0,08;0,08
1078; KCP SUMBER;16,32;3,10;90,31;109,73
1107; KCP METRO TRADE CENTER;20,11;9,49;76,36;105,95
1108; KCP ABDUL FATAH;;;0,00;0,00
1139; KCP RANCAEKEK;8,09;13,05;34,47;55,61
1140; KCP BANJARAN;11,26;7,76;54,78;73,80
1141; KCP SUMMARECON BANDUNG;37,16;38,84;70,99;146,99
1337; KCP CIKURUBUK;;;0,00;0,00
1345; KCP GUNTUR;;0,00;0,00;0,00
1346; KCP CIKAJANG;9,44;7,29;50,88;67,61
1355; KCP CICURUG;8,09;12,46;34,82;55,37
1437; KCP CIAWI TASIKMALAYA;3,57;5,50;46,63;55,70
1596; KCP TELKOM BANDUNG;13,23;114,03;39,15;166,41
1809; KCP MANGUNSARKORO;;;0,00;0,00
2000; KCP CIHAMPELAS;;0,00;0,00;0,00
2016; KCP LEMBANG;26,94;8,34;53,94;89,22
2058; KCP BATUNUNGGAL;49,05;33,36;57,69;140,10
2103; KCP Mekarwangi;;;0,00;0,00
2104; KCP RIAU;36,63;24,16;88,93;149,72
2105; KCP SUCI;45,78;17,49;55,39;118,66
2128; KCP CILEDUG CIREBON;14,59;5,72;66,47;86,78
2154; KCP ANTAPANI;12,88;7,33;45,88;66,09
2155; KCP TAMAN KOPO INDAH;14,73;2,50;70,17;87,40
2184; KCP TAMAN KOPO INDAH II;18,84;6,86;64,33;90,02
2229; KCP SURADE;8,29;3,17;28,73;40,18
2230; KCP CIRANJANG;2,53;2,96;33,86;39,34
2231; KCP SUKANAGARA;0,86;1,04;22,54;24,44
